"","revisit_code","num_revisit","decision_time_code","decision_time","other_country","purpose","motivation1","motivation2","motivation3","path_get_inform1","path_get_inform2","path_get_inform3","companion","num_companion_code","num_companion","activity1","activity2","activity3","prefer_activity","visit_place1","visit_place2","visit_place3","visit_place4","visit_place5","visit_place6","visit_place7","visit_place8","visit_place9","visit_place10","visit_place11","visit_place12","visit_place13","visit_place14","visit_place15","visit_place16","visit_place17","visit_place18","visit_place19","visit_place20","visit_place21","visit_place22","visit_place23","visit_place24","visit_place25","visit_place26","visit_place27","visit_place28","visit_place29","visit_place30","visit_place31","visit_place32","visit_place33","visit_place34","visit_place35","visit_place36","visit_place37","visit_place38","visit_place39","visit_place40","visit_place41","visit_place42","visit_place43","visit_place44","visit_place45","visit_place46","visit_place47","visit_place48","visit_seoul","visit_inceon","visit_gyeongi","visit_gangwon","visit_daejeon","visit_chungbuk","visit_chungnam","visit_sejong","visit_gyeongbuk","visit_gyeongnam","visit_daegu","visit_ulsan","visit_busan","visit_gwangju","visit_jeonbuk","visit_jeonnam","visit_jeju","visit_etc","period_code","period","prefer_visit_place1","prefer_visit_place2","prefer_visit_place3","shopping_goods1","shopping_goods2","shopping_goods3","shopping_place1","shopping_place2","shopping_place3","satisfaction","revisit_intention","recommend_intention","image_korea_before","image_korea_after","type","accomodations_hotel","accomodations_guesthouse","accomodations_condo","accomodations_friend","accomodations_official","accomodations_temple","accomodations_homestay","accomodations_etc","accomodations_no","total_pay","total_card","total_cash","pay_accomodations","pay_agency_abroad","pay_shopping","pay_eat","pay_transportation","pay_entertainment","pay_agency_kor","pay_culture","pay_exercise","pay_etc","daily_pay","date_survey","nation","city","gender","job","age","area_total","site_total","spring","summer","fall","winter","satisfaction_index"
"5",1,0,1,1,1,1,1,10,2,3,2,NA,3,3,3,2,18,1,18,124,125,128,129,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,130,125,129,5,10,15,1,2,10,4,4,4,4,4,1,1,0,0,0,0,0,0,0,0,716.5,429.9,286.6,159.222222222222,0,318.444444444444,159.222222222222,79.6111111111111,0,0,0,0,0,179.125,2,2,206,1,11,1,1,5,0,0,0,1,2
"6",1,0,1,1,1,1,1,10,4,3,2,NA,3,3,3,2,21,18,18,82,83,84,96,97,98,99,100,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,5,83,84,99,3,10,12,1,9,NA,4,4,4,4,5,1,1,1,0,0,0,0,0,0,0,1296.9,0,1296.9,297,0,594,257.4,138.6,9.9,0,0,0,0,259.38,3,17,5009,1,8,1,2,9,1,0,0,0,2
"17",1,0,1,1,1,1,1,16,17,3,2,5,3,3,6,18,7,17,18,1,2,4,5,6,8,9,14,28,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,48,14,28,4,5,19,4,7,9,5,5,5,5,5,1,0,1,0,0,0,0,0,0,0,449.533278684189,0,449.533278684189,96.9581581475703,0,105.772536160986,176.28756026831,44.0718900670774,8.81437801341548,0,17.628756026831,0,0,64.2190398120271,10,17,5009,1,3,1,3,10,0,0,1,0,3
"21",1,0,1,1,1,1,1,2,NA,2,3,NA,3,3,4,17,20,1,2,1,3,4,5,8,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,5,17,5,10,18,5,7,8,5,4,4,4,5,1,0,0,0,0,1,0,0,0,0,773.24,446.1,327.14,446.1,0,148.7,148.7,29.74,0,0,0,0,0,110.462857142857,8,2,203,1,8,1,1,6,0,1,0,0,2
"25",1,0,1,1,1,1,1,2,10,3,2,5,3,2,2,18,2,7,18,124,125,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,124,125,129,1,9,10,9,10,NA,5,3,4,4,4,1,0,1,0,0,0,0,0,0,0,331.712,59.072,272.64,40.896,0,181.76,63.616,45.44,0,0,0,0,0,110.570666666667,9,1,2,2,3,1,1,3,0,0,1,0,1
"26",1,0,1,1,1,1,1,2,10,3,5,NA,3,3,3,1,18,22,1,124,125,127,131,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,124,132,NA,5,NA,NA,2,9,NA,4,3,4,4,4,2,1,0,0,0,0,0,0,0,0,1146.4,429.9,716.5,0,169.094,977.306,0,0,0,0,0,0,0,229.28,1,2,321,2,4,1,1,5,0,0,0,1,1
"28",1,0,1,1,1,1,1,2,11,3,2,5,3,2,2,1,2,18,2,1,2,3,5,28,29,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,2,3,5,10,NA,2,3,7,4,4,4,4,4,2,1,0,0,0,0,0,0,0,0,382.2,0,382.2,0,352.8,29.4,0,0,0,0,0,0,0,95.55,7,6,701,2,7,2,2,7,0,1,0,0,2
"30",1,0,1,1,1,1,1,2,13,3,NA,NA,3,2,2,1,2,19,1,4,5,6,8,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,4,5,20,3,4,11,1,3,5,5,5,3,4,5,1,0,1,0,0,0,0,0,0,0,1383.39585490469,1383.39585490469,0,322.509463106615,0,848.70911343846,169.741822687692,42.435455671923,0,0,0,0,0,197.627979272099,2,6,701,2,8,1,1,5,0,0,0,1,3
"32",1,0,1,1,1,1,1,2,16,2,NA,NA,3,3,4,2,1,7,7,124,125,129,130,131,132,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,130,132,134,4,5,10,1,2,3,5,4,5,5,5,1,1,0,0,0,0,0,0,0,0,992.27,793.816,198.454,148.1,0,592.4,222.15,29.62,0,0,0,0,0,198.454,6,2,202,2,3,1,1,7,0,1,0,0,2
"34",1,0,1,1,1,1,1,2,3,1,2,3,3,2,2,1,2,3,1,3,4,5,6,11,13,14,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,14,13,5,4,5,10,1,7,10,5,4,4,4,4,3,1,0,0,0,0,0,0,0,0,1454,727,727,0,581.6,727,72.7,72.7,0,0,0,0,0,290.8,3,2,201,2,3,2,1,8,1,0,0,0,2
