"","revisit_code","num_revisit","decision_time_code","decision_time","other_country","purpose","motivation1","motivation2","motivation3","path_get_inform1","path_get_inform2","path_get_inform3","companion","num_companion_code","num_companion","activity1","activity2","activity3","prefer_activity","visit_place1","visit_place2","visit_place3","visit_place4","visit_place5","visit_place6","visit_place7","visit_place8","visit_place9","visit_place10","visit_place11","visit_place12","visit_place13","visit_place14","visit_place15","visit_place16","visit_place17","visit_place18","visit_place19","visit_place20","visit_place21","visit_place22","visit_place23","visit_place24","visit_place25","visit_place26","visit_place27","visit_place28","visit_place29","visit_place30","visit_place31","visit_place32","visit_place33","visit_place34","visit_place35","visit_place36","visit_place37","visit_place38","visit_place39","visit_place40","visit_place41","visit_place42","visit_place43","visit_place44","visit_place45","visit_place46","visit_place47","visit_place48","visit_seoul","visit_inceon","visit_gyeongi","visit_gangwon","visit_daejeon","visit_chungbuk","visit_chungnam","visit_sejong","visit_gyeongbuk","visit_gyeongnam","visit_daegu","visit_ulsan","visit_busan","visit_gwangju","visit_jeonbuk","visit_jeonnam","visit_jeju","visit_etc","period_code","period","prefer_visit_place1","prefer_visit_place2","prefer_visit_place3","shopping_goods1","shopping_goods2","shopping_goods3","shopping_place1","shopping_place2","shopping_place3","satisfaction","revisit_intention","recommend_intention","image_korea_before","image_korea_after","type","accomodations_hotel","accomodations_guesthouse","accomodations_condo","accomodations_friend","accomodations_official","accomodations_temple","accomodations_homestay","accomodations_etc","accomodations_no","total_pay","total_card","total_cash","pay_accomodations","pay_agency_abroad","pay_shopping","pay_eat","pay_transportation","pay_entertainment","pay_agency_kor","pay_culture","pay_exercise","pay_etc","daily_pay","date_survey","nation","city","gender","job","age","area_total","site_total","spring","summer","fall","winter","satisfaction_index"
"1",1,0,1,1,1,1,1,NA,NA,2,NA,NA,2,3,4,2,18,NA,2,124,125,129,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,124,125,NA,10,NA,NA,9,NA,NA,4,5,5,5,5,1,1,0,0,0,0,0,0,0,0,568.192,494.592,73.6,97.152,0,235.52,176.64,58.88,0,0,0,0,0,113.6384,7,2,206,2,9,4,1,4,0,1,0,0,3
"2",1,0,1,1,1,1,1,NA,NA,2,NA,NA,2,3,6,18,2,1,18,124,125,127,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,129,124,NA,8,10,11,2,10,NA,4,4,4,4,4,1,1,0,0,0,0,0,0,0,0,1177.6,1177.6,0,264.96,0,736,147.2,29.44,0,0,0,0,0,294.4,7,2,201,1,3,2,1,4,0,1,0,0,2
"3",1,0,1,1,1,1,1,NA,NA,5,NA,NA,2,3,5,18,2,NA,18,124,128,130,132,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,130,132,NA,10,16,NA,10,NA,NA,5,4,4,4,4,1,1,0,0,0,0,0,0,0,0,603.52,309.12,294.4,117.76,0,294.4,117.76,73.6,0,0,0,0,0,120.704,7,2,201,1,6,3,1,5,0,1,0,0,2
"4",1,0,1,1,1,1,1,10,NA,3,NA,NA,2,2,2,18,NA,NA,18,125,130,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,130,132,NA,9,10,11,10,NA,NA,5,5,5,5,5,1,1,0,0,0,0,0,0,0,0,345.06,230.04,115.02,140.58,0,63.9,115.02,25.56,0,0,0,0,0,69.012,9,3,401,1,7,1,1,3,0,0,1,0,3
"7",1,0,1,1,1,1,1,10,4,3,2,NA,2,2,2,2,18,1,2,79,80,83,96,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8,8,79,80,96,10,11,NA,1,9,NA,4,4,4,3,4,1,1,0,0,0,0,0,0,0,0,1286.6,1157.94,128.66,514.64,0,192.99,514.64,64.33,0,0,0,0,0,160.825,6,11,1123,2,4,1,2,5,0,1,0,0,2
"8",1,0,1,1,1,1,1,10,4,3,2,5,2,3,3,18,2,NA,18,124,125,127,129,134,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,6,134,129,NA,3,10,NA,1,10,NA,5,5,5,5,5,1,1,0,0,0,0,0,0,0,0,472.875,291,181.875,123.675,0,123.675,145.5,80.025,0,0,0,0,0,78.8125,4,2,201,1,6,2,1,6,1,0,0,0,3
"9",1,0,1,1,1,1,1,11,2,1,2,5,2,3,5,18,2,4,2,5,6,8,12,22,45,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,12,47,45,5,8,10,3,7,10,5,5,5,3,5,2,1,0,0,0,0,0,0,0,0,4692.12,2307.6,2384.52,0,769.2,3846,76.92,0,0,0,0,0,0,938.424,11,3,401,2,3,4,3,7,0,0,1,0,3
"10",1,0,1,1,1,1,1,11,2,5,7,4,2,3,3,1,9,17,17,1,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,NA,NA,4,5,NA,2,7,NA,5,4,4,4,4,2,1,0,0,0,0,0,0,0,0,1339.2,781.2,558,0,502.2,837,0,0,0,0,0,0,0,334.8,2,6,734,2,3,3,1,3,0,0,0,1,2
"12",1,0,1,1,1,1,1,12,4,3,1,4,2,3,4,17,20,1,17,1,4,5,8,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,5,4,10,18,NA,9,NA,NA,4,3,3,4,3,2,1,0,0,0,0,0,0,0,0,514.8,386.1,128.7,0,386.1,64.35,64.35,0,0,0,0,0,0,102.96,4,3,401,1,8,0,1,5,1,0,0,0,1
"14",1,0,1,1,1,1,1,13,2,3,5,4,2,3,3,17,1,18,17,1,2,3,4,5,6,7,8,9,10,11,16,17,18,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,8,17,5,4,5,19,5,6,7,5,5,5,5,5,1,1,0,0,0,0,0,0,0,0,976.015480454229,551.660923734999,424.35455671923,551.660923734999,0,254.612734031538,169.741822687692,0,0,0,0,0,0,139.430782922033,2,14,1701,2,8,0,1,15,0,0,0,1,3
