"","revisit_code","num_revisit","decision_time_code","decision_time","other_country","purpose","motivation1","motivation2","motivation3","path_get_inform1","path_get_inform2","path_get_inform3","companion","num_companion_code","num_companion","activity1","activity2","activity3","prefer_activity","visit_place1","visit_place2","visit_place3","visit_place4","visit_place5","visit_place6","visit_place7","visit_place8","visit_place9","visit_place10","visit_place11","visit_place12","visit_place13","visit_place14","visit_place15","visit_place16","visit_place17","visit_place18","visit_place19","visit_place20","visit_place21","visit_place22","visit_place23","visit_place24","visit_place25","visit_place26","visit_place27","visit_place28","visit_place29","visit_place30","visit_place31","visit_place32","visit_place33","visit_place34","visit_place35","visit_place36","visit_place37","visit_place38","visit_place39","visit_place40","visit_place41","visit_place42","visit_place43","visit_place44","visit_place45","visit_place46","visit_place47","visit_place48","visit_seoul","visit_inceon","visit_gyeongi","visit_gangwon","visit_daejeon","visit_chungbuk","visit_chungnam","visit_sejong","visit_gyeongbuk","visit_gyeongnam","visit_daegu","visit_ulsan","visit_busan","visit_gwangju","visit_jeonbuk","visit_jeonnam","visit_jeju","visit_etc","period_code","period","prefer_visit_place1","prefer_visit_place2","prefer_visit_place3","shopping_goods1","shopping_goods2","shopping_goods3","shopping_place1","shopping_place2","shopping_place3","satisfaction","revisit_intention","recommend_intention","image_korea_before","image_korea_after","type","accomodations_hotel","accomodations_guesthouse","accomodations_condo","accomodations_friend","accomodations_official","accomodations_temple","accomodations_homestay","accomodations_etc","accomodations_no","total_pay","total_card","total_cash","pay_accomodations","pay_agency_abroad","pay_shopping","pay_eat","pay_transportation","pay_entertainment","pay_agency_kor","pay_culture","pay_exercise","pay_etc","daily_pay","date_survey","nation","city","gender","job","age","area_total","site_total","spring","summer","fall","winter","satisfaction_index"
"11",1,0,1,1,1,1,1,11,4,3,NA,NA,1,1,1,17,20,9,17,1,2,3,4,5,6,7,8,9,10,12,13,15,16,17,18,19,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,4,16,5,NA,NA,3,7,NA,5,2,5,4,5,1,1,0,0,0,0,0,0,0,0,1921.14,1182.24,738.9,923.625,0,147.78,221.67,147.78,295.56,0,184.725,0,0,240.1425,6,8,601,2,2,2,1,18,0,1,0,0,1
"13",1,0,1,1,1,1,1,13,2,3,2,NA,1,1,1,1,4,7,7,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,5,NA,4,5,NA,7,NA,NA,5,4,4,5,5,1,1,0,0,0,0,0,0,0,0,2866,2866,0,859.8,0,1433,286.6,286.6,0,0,0,0,0,716.5,1,2,218,2,2,1,1,2,0,0,0,1,2
"16",1,0,1,1,1,1,1,16,10,3,6,1,1,1,1,2,21,1,2,2,3,4,5,8,13,16,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,48,5,3,9,10,NA,3,7,10,4,4,4,4,4,1,0,1,0,0,0,0,0,0,0,440.718900670774,0,440.718900670774,61.7006460939084,0,176.28756026831,176.28756026831,26.4431340402464,0,0,0,0,0,110.179725167694,11,3,401,1,2,1,2,8,0,0,1,0,2
"20",1,0,1,1,1,1,1,2,NA,1,2,4,1,1,1,1,2,17,17,1,2,5,8,9,20,28,33,35,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,26,1,28,33,5,10,15,3,5,7,5,5,5,3,5,1,1,0,0,0,0,0,0,0,0,2600.24151395757,0,2600.24151395757,1101.79725167694,0,440.718900670774,440.718900670774,617.006460939084,0,0,0,0,0,100.009288998368,10,6,701,2,2,2,2,10,0,0,1,0,3
"22",1,0,1,1,1,1,1,2,NA,3,2,NA,1,1,1,4,18,2,2,1,2,4,5,16,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,2,5,4,8,NA,3,7,9,5,3,4,3,4,1,1,0,0,0,0,0,0,0,0,1505,1505,0,602,0,451.5,301,150.5,0,0,0,0,0,376.25,9,6,701,2,12,1,1,6,0,0,1,0,1
"36",1,0,1,1,1,1,1,2,3,1,2,3,1,1,1,1,2,18,18,1,4,12,20,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,12,4,5,12,NA,2,9,NA,4,4,5,4,4,2,1,0,0,0,0,0,0,0,0,924,0,924,0,484,440,0,0,0,0,0,0,0,231,9,19,5053,1,3,2,2,5,0,0,1,0,2
"38",1,0,1,1,1,1,1,2,3,2,NA,NA,1,1,1,3,1,17,2,3,5,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,3,5,29,3,12,4,1,2,10,5,5,5,4,5,1,0,0,0,1,0,0,0,0,0,1407.09,90.78,1316.31,0,0,756.5,605.2,45.39,0,0,0,0,0,100.506428571429,10,2,219,1,3,1,2,3,0,0,1,0,3
"41",1,0,1,1,1,1,1,2,3,2,4,5,1,1,1,1,3,4,20,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,8,5,NA,4,5,12,1,5,7,5,5,5,5,5,1,1,0,0,0,0,0,0,0,0,1498.5,832.5,666,333,0,666,233.1,266.4,0,0,0,0,0,299.7,9,5,503,1,1,1,1,2,0,0,1,0,3
"50",1,0,1,1,1,1,1,2,4,1,2,3,1,1,1,1,2,18,2,1,2,3,4,5,6,7,8,9,10,12,13,14,16,17,18,20,90,91,92,106,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,11,20,3,12,13,10,13,16,5,6,9,4,4,4,4,4,1,1,1,0,0,0,0,0,0,0,1782.28913822077,678.967290750768,1103.32184747,763.838202094614,0,424.35455671923,212.177278359615,339.483645375384,42.435455671923,0,0,0,0,89.1144569110383,2,2,211,2,3,1,3,22,0,0,0,1,2
"51",1,0,1,1,1,1,1,2,4,1,2,3,1,1,1,1,2,9,2,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,8,NA,3,4,NA,5,NA,NA,4,4,4,4,5,1,0,0,0,1,0,0,0,0,0,858.722907292275,0,858.722907292275,0,0,515.233744375365,171.744581458455,171.744581458455,0,0,0,0,0,143.120484548712,3,19,5208,1,7,4,1,2,1,0,0,0,2
