"","revisit_code","num_revisit","decision_time_code","decision_time","other_country","purpose","motivation1","motivation2","motivation3","path_get_inform1","path_get_inform2","path_get_inform3","companion","num_companion_code","num_companion","activity1","activity2","activity3","prefer_activity","visit_place1","visit_place2","visit_place3","visit_place4","visit_place5","visit_place6","visit_place7","visit_place8","visit_place9","visit_place10","visit_place11","visit_place12","visit_place13","visit_place14","visit_place15","visit_place16","visit_place17","visit_place18","visit_place19","visit_place20","visit_place21","visit_place22","visit_place23","visit_place24","visit_place25","visit_place26","visit_place27","visit_place28","visit_place29","visit_place30","visit_place31","visit_place32","visit_place33","visit_place34","visit_place35","visit_place36","visit_place37","visit_place38","visit_place39","visit_place40","visit_place41","visit_place42","visit_place43","visit_place44","visit_place45","visit_place46","visit_place47","visit_place48","visit_seoul","visit_inceon","visit_gyeongi","visit_gangwon","visit_daejeon","visit_chungbuk","visit_chungnam","visit_sejong","visit_gyeongbuk","visit_gyeongnam","visit_daegu","visit_ulsan","visit_busan","visit_gwangju","visit_jeonbuk","visit_jeonnam","visit_jeju","visit_etc","period_code","period","prefer_visit_place1","prefer_visit_place2","prefer_visit_place3","shopping_goods1","shopping_goods2","shopping_goods3","shopping_place1","shopping_place2","shopping_place3","satisfaction","revisit_intention","recommend_intention","image_korea_before","image_korea_after","type","accomodations_hotel","accomodations_guesthouse","accomodations_condo","accomodations_friend","accomodations_official","accomodations_temple","accomodations_homestay","accomodations_etc","accomodations_no","total_pay","total_card","total_cash","pay_accomodations","pay_agency_abroad","pay_shopping","pay_eat","pay_transportation","pay_entertainment","pay_agency_kor","pay_culture","pay_exercise","pay_etc","daily_pay","date_survey","nation","city","gender","job","age","area_total","site_total","spring","summer","fall","winter","satisfaction_index"
"6167",1,0,2,2,1,6,NA,NA,NA,2,NA,NA,4,3,4,16,15,13,13,89,801,803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7,7,89,NA,NA,98,NA,NA,98,NA,NA,4,5,4,3,4,1,1,0,0,0,0,0,0,0,0,1098.8431,1054.8894124266,43.9537255177749,1054.8894124266,0,0,43.9537255177749,0,0,0,0,0,0,156.977585714286,4,9,849,2,2,2,2,3,1,0,0,0,3
"6198",1,0,5,10,2,1,1,2,8,3,2,5,4,3,18,1,2,18,1,3,5,7,8,9,14,15,16,17,18,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,14,20,3,3,4,5,1,7,9,4,4,4,5,5,1,0,1,0,0,0,0,0,0,0,542.485669336902,180.828556445634,361.657112891268,180.828556445634,0,271.242834668451,63.2899947559719,27.1242834668451,0,0,0,0,0,108.49713386738,12,6,701,2,3,1,1,11,0,0,0,1,2
"6226",1,0,3,3,1,6,NA,NA,NA,2,NA,NA,4,3,12,16,15,17,15,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,NA,NA,4,10,NA,7,NA,NA,5,4,4,4,4,1,1,0,0,0,0,0,0,0,0,395,295,100,70,0,200,75,50,0,0,0,0,0,197.5,1,15,5020,1,1,3,1,1,0,0,0,1,2
"6229",1,0,4,5,1,7,NA,NA,NA,3,2,4,4,3,6,14,18,20,18,1,2,3,4,12,13,94,96,97,98,99,102,104,902,977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,15,150,104,99,997,4,13,14,3,9,NA,5,3,4,4,5,1,1,0,0,0,1,0,0,0,0,4467.2953369559,812.235515810164,3655.05982114574,1218.35327371525,0,812.235515810164,812.235515810164,812.235515810164,406.117757905082,0,406.117757905082,0,0,NA,1,5,501,1,8,0,3,15,0,0,1,1,1
"6296",1,0,3,3,1,6,NA,NA,NA,4,3,2,4,2,2,16,15,1,15,96,99,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,96,104,NA,5,6,10,1,3,9,5,5,5,4,5,1,1,0,0,0,0,0,0,0,0,669.8,394,275.8,197,0,295.5,118.2,59.1,0,0,0,0,0,223.266666666667,7,17,5009,1,5,2,1,3,0,1,0,0,3
"6353",1,0,5,12,1,6,NA,NA,NA,2,3,4,4,2,2,12,21,3,12,1,6,8,49,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,49,51,8,4,10,11,1,5,9,5,5,5,4,5,1,1,0,0,0,0,0,0,0,0,407.380374450461,0,407.380374450461,169.741822687692,0,84.870911343846,84.870911343846,67.8967290750768,0,0,0,0,0,29.0985981750329,2,10,1009,2,8,0,2,5,0,0,0,1,3
"6393",1,0,1,1,1,6,NA,NA,NA,3,NA,NA,4,2,2,16,2,1,16,7,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,30,NA,4,NA,NA,11,NA,NA,5,5,5,3,5,1,1,0,0,0,0,0,0,0,0,1067.659,1067.659,0,261.154,0,38.405,384.05,230.43,0,153.62,0,0,0,355.886333333333,10,8,613,1,2,4,2,2,0,0,1,0,3
"6395",1,0,1,1,1,6,NA,NA,NA,9,NA,NA,4,2,2,16,2,NA,16,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,64,NA,NA,20,NA,NA,1,NA,NA,5,3,4,3,4,1,1,0,0,0,0,0,0,0,0,254.612734031538,254.612734031538,0,195.203096090846,0,59.4096379406922,0,0,0,0,0,0,0,84.870911343846,2,11,1101,1,5,4,1,1,0,0,0,1,1
"6404",1,0,3,3,1,6,NA,NA,NA,3,2,NA,4,2,2,16,15,NA,16,14,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,14,997,NA,8,18,NA,1,NA,NA,5,5,5,4,4,1,1,0,0,0,0,0,0,0,0,250,130,120,130,0,50,50,20,0,0,0,0,0,125,2,97,5339,1,2,1,1,2,0,0,0,1,3
"6425",1,0,3,4,1,6,NA,NA,NA,3,2,NA,4,3,5,21,16,NA,21,4,5,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,5,NA,1,3,5,1,7,10,5,5,5,5,5,1,0,0,0,0,1,0,0,0,0,270,0,270,0,0,200,50,20,0,0,0,0,0,54,5,15,5535,1,5,0,2,3,1,0,0,0,3
